bug_id,dataset,function,h_assertions,l_assertions,h_loc,l_loc,h_edge_cases,l_edge_cases,h_fault_detect,l_fault_detect,h_docstring,l_docstring,h_pattern,l_pattern,h_line_cov,l_line_cov,h_branch_cov,l_branch_cov
ansible_1,bugsinpy,validate_collection_path,3,1,4,19,3,1,0,1,0,1,simple,advanced,100,71.43,100,50
ansible_2,bugsinpy,_Numeric comparisons,5,6,13,47,5,4,0,1,0,1,simple,advanced,,,
ansible_3,bugsinpy,parse_distribution_file_Debian,1,1,13,29,1,7,1,1,0,0,simple,parametrize,53.33,100,33.33,100
ansible_4,bugsinpy,_ensure_default_collection,5,1,17,39,3,1,0,1,0,1,mock,mock,80.77,73.08,70,50
ansible_5,bugsinpy,check_required_arguments,2,5,13,30,1,3,0,1,0,1,try/except,pytest.raises,80,80,75,75
pandas_1,bugsinpy,is_string_dtype,5,1,11,7,5,1,0,1,0,0,simple,simple,,,
pandas_2,bugsinpy,_convert_key,1,2,7,26,1,4,1,1,0,1,simple,parametrize,71.43,100,50,100
pandas_3,bugsinpy,to_period,1,4,5,16,1,4,0,1,0,0,simple,advanced,,,
pandas_4,bugsinpy,flip_join_inputs,2,9,4,26,1,9,0,1,0,0,simple,parametrize,87.5,100,50,100
pandas_6,bugsinpy,is_in_obj,3,8,14,28,3,8,0,1,0,0,simple,advanced,100,100,100,100
pandas_7,bugsinpy,_filter_indexer_tolerance,1,1,7,16,1,1,1,1,0,1,simple,advanced,100,100,,
pandas_8,bugsinpy,handle_no_match,3,5,15,42,2,2,0,1,0,1,simple,mock,80,80,75,75
pandas_9,bugsinpy,contains_func,3,14,8,66,3,8,0,1,0,1,simple,advanced,100,100,100,100
ytdl_1,bugsinpy,parse_dfxp_time_expr,5,14,11,30,5,10,0,1,0,0,simple,unittest,100,100,100,100
ytdl_2,bugsinpy,update_or_append_format,4,3,13,26,2,3,0,1,0,1,simple,advanced,100,88.89,,
ytdl_3,bugsinpy,unescapeHTML,4,13,9,57,4,9,0,1,0,1,simple,advanced,100,100,100,100
ytdl_5,bugsinpy,determine_ext,4,1,9,21,4,1,0,1,0,1,simple,advanced,88.24,64.71,83.33,50
ytdl_6,bugsinpy,match_filter_func,2,6,11,56,2,6,1,1,0,1,mock,parametrize+mock,90.91,90.91,100,100
ytdl_7,bugsinpy,parse_age_limit,5,14,11,41,5,14,0,1,0,0,simple,parametrize,100,100,100,100
ytdl_9,bugsinpy,parse_filter,1,8,8,110,1,8,0,1,0,1,simple,parametrize,90.91,100,75,100
ytdl_10,bugsinpy,strip_jsonp,4,1,9,3,4,1,0,0,0,0,simple,simple,,,
os_canon_name,opensource,canonicalize_name,10,1,14,11,10,1,0,0,0,1,parametrize,advanced,87.5,87.5,75,75
os_canon_ver,opensource,canonicalize_version,1,14,2,40,1,14,0,0,0,1,simple,parametrize,,,
os_is_norm,opensource,is_normalized_name,2,18,4,30,2,18,0,0,0,1,simple,parametrize,,,
os_parse_sdist,opensource,parse_sdist_filename,2,2,8,14,2,1,0,0,0,1,parametrize,advanced,74.19,61.29,62.5,37.5
os_smart_trunc,opensource,smart_truncate,1,3,3,35,1,3,0,0,0,1,simple,advanced,11.36,72.73,5,65
os_parse_wheel,opensource,parse_wheel_filename,1,2,4,30,1,2,0,0,0,1,parametrize,pytest.raises,,,
custom_normalize,custom,normalize_username,6.0,1,14,2,6.0,1,0,0,0,0,mixed,simple,,,
custom_merge,custom,merge_intervals,7.0,1,16,2,7.0,1,0,0,0,0,mixed,simple,,,
